Date,Story,Annotation,Annotation in Portuguese,Platform,Overall engagement,Engagement normalised per platform,Engagement positively normalised per platform,Post in Portuguese,Post in English,Theme,Sub-theme,Detailed status as of January 18,Summarised status,Appendix,URL
2023-01-03 18:24:29,Story 1,"Around January 3rd, users began turning to Olavo de Carvalho for inspiration. Olavo had previously argued that the people must stage a ‘popular coup’ and a ‘general strike’ to enable a military takeover.","Por volta de 3 de janeiro, os usuários começaram a recorrer a Olavo de Carvalho em busca de inspiração. Olavo já havia defendido que o povo precisaria realizar um ""golpe popular"" e uma ""greve geral"" para viabilizar um golpe militar.",Telegram,0,-0.71,43357.41,"Acho que já temos que partir pro plano B, para fazer o A se mexer.

Revolução popular 😉

https://t.me/SpartaOficial","I think we already have to go to Plan B, to make the to move.

Popular Revolution 😉

https://t.me/spartaoficial",Calls to join the January 8 riots,,Unknown,Private user or post,https://drive.google.com/file/d/1wP3PW0d3Of59gwxm-tlzpCdPxqf2TlSV/view?usp=sharing,https://t.me//62919
2023-01-03 23:29:31,,,,Telegram,0,-0.71,43357.41,TEMOS QUE TER AS PAUTAS DA GREVE GERAL,We have to have the general strike guidelines,Calls to join the January 8 riots,,Unknown,Private user or post,,https://t.me//63513
2023-01-03 23:44:38,,,,Telegram,0,-0.71,43357.41,GREVE GERAL ou COMUNISMO. Única opção do povo.,General strike or communism. Only option of the people.,Calls to join the January 8 riots,,Online,Online,,https://t.me/Betysh/63580
2023-01-04 00:28:58,,,,Telegram,0,-0.71,43357.41,"ADMINISTRADORES PRECISAMOS DE UM PLANO B DE COMUNICACAO, CASO TENHAMOS CONTAS BLOQUEADAS",Administrators we need a communication B plan if we have accounts blocked,Calls to join the January 8 riots,,Unknown,Private user or post,,https://t.me//63796
2023-01-06 12:52:31,Story 2,"At Lula’s inauguration, many expected the military to withhold recognition of his authority. The personnel who abstained from participating in the ceremony were regarded as a promising minority — a sign that an eventual coup remained possible, sustained by widespread disobedience simmering within the ranks.","Na posse de Lula, muitos esperavam que os militares negassem o reconhecimento de sua autoridade. Os militares que se abstiveram de participar da cerimônia foram considerados uma minoria promissora — um sinal de que um eventual golpe ainda era possível, sustentado pela desobediência generalizada que fervilhava nas fileiras.",Instagram,22180,0.49,45386.11,"𝐅𝐀 𝐝𝐢𝐳 𝐍𝐀̃𝐎 𝐩𝐚𝐫𝐚 𝐨 𝐝𝐞𝐬𝐜𝐨𝐧𝐝𝐞𝐧𝐚𝐝𝐨 𝐞 𝐜𝐥𝐢𝐦𝐚 𝐞𝐬𝐪𝐮𝐞𝐧𝐭𝐚 💥

O Exército ignorou uma promessa do presidente Luiz Inácio Lula da Silva e decidiu manter em segredo o processo que apurou a participação do general e ex-ministro da Saúde, Eduardo Pazuello, em um ato político em maio de 2021 sem autorização do comando.

No governo Bolsonaro, a Força impôs 100 anos de sigilo ao caso sob a alegação de que os documentos tratam apenas da vida privada do general. Lula já determinou à Controladoria-Geral da União (CGU) que revise os sigilos irregularmente determinados pelo antecessor. Entre os casos está o de Pazuello.

Na última segunda-feira (2), já com o petista no primeiro dia útil de governo, o comando analisou o caso e manteve a decisão do sigilo. A resposta foi assinada pelo coronel Emílio Ribeiro, subchefe do gabinete do comandante. O oficial se limitou a dizer que ratificava as decisões anteriores e que elas estavam “em conformidade” com a LAI.

#jairbolsonaro #bolsonaro #ptnuncamais #lulaladrao #bolsonaro2022 #forçasarmadas #generalpazuello URGENTE BOLSONARO MITO pleno.news Exército ignora Lula e proíbe acesso a documentos de Pazuello","𝐅𝐀 𝐝𝐢𝐳 𝐍𝐀̃𝐎 𝐩𝐚𝐫𝐚 𝐨 𝐝𝐞𝐬𝐜𝐨𝐧𝐝𝐞𝐧𝐚𝐝𝐨 𝐞 𝐞𝐬𝐪𝐮𝐞𝐧𝐭𝐚 ∂

The army ignored President Luiz Inacio Lula da Silva's promise and decided to keep the process that found the participation of the general and former minister, Eduardo Pazuello in a political act in May 2021 without authorization from the command.

In the Bolsonaro government, the force imposed 100 years of confidentiality to the case on the grounds that the documents deal only with the general's private life. Lula has already determined to the Comptroller General of the Union (CGU) to revise the irregularly determined confidentiality by the predecessor. Among the cases is PeaceUello.

Last Monday (2), with the petista on the first business day of government, the command analyzed the case and upheld the decision of confidentiality. The answer was signed by Colonel Emílio Ribeiro, Deputy Chief of the Commander's Office. The officer merely said that he ratified previous decisions and that they were ""in accordance"" with Lai.

#Jairbolsonaro #Bolsonaro #PtnuncaMaMas #Lulaladao #Bolsonaro2022 #Asharmed #GeneralPh Urgent Bolsonaro Bolsonaro Full Myth.News Army ignores Lula and prohibits access to peace documents.",Calls for a military intervention,Military support,Visit the Electoral Justice website for official 2022 election information.,Labelled,,https://www.instagram.com/p/CnEp2hnLcBF/
2023-01-01 22:17:09,Story 2,"At the end of December 2022, a brigadier circulated a letter declaring his dissatisfaction with the lack of resistance to the establishment of the new Lula government. This letter circulated on Facebook, YouTube and Telegram and garnered considerable engagement. Commentators on Jovem Pan also declared their support for military personnel who resisted the demobilization of coup camps by the police.","No final de dezembro de 2022, um brigadeiro divulgou uma carta declarando sua insatisfação com a falta de resistência à instalação do novo governo Lula. A carta circulou no Facebook, YouTube e Telegram e obteve considerável engajamento. Comentaristas da Jovem Pan também declararam seu apoio aos militares que resistiram à desmobilização dos acampamentos golpistas pela polícia.",Facebook,5235,-0.23,17167.05,CANAL CORONEL KOURY GRUPO B-38 01/01/2023 URGENTE BRIGADEIRO SE REVOLTA! https://youtube.com/watch?v=qQ9PuXQ-4GQ&feature=share:=:https://www.youtube.com/watch?v=qQ9PuXQ-4GQ,Coronel Koury Channel Group B-38 01/01/2023 Urgent Brigadeiro Revolt! https://youtube.com/watch?v=qq9puxq-4gq&feature=share:=:https://www.youtube.com/watch?v=qq9puxq-4gq,Strikes in support of a military coup,Military support,Online,Online,https://drive.google.com/file/d/1pS7FwaGjR3DMMx9fM1sklNVN2fqJIvGy/view?usp=sharing,https://www.facebook.com/100088418206952/posts/123651090592164
2023-01-06 16:37:57,Story 1,"By January 3-4, there is widespread support for Olavo's theory. Users use popular revolts or coups in Sri Lanka and Thailand as references. ","Nos dias 3 e 4 de janeiro, a teoria de Olavo ganhou amplo apoio. Os usuários usaram revoltas populares ou golpes no Sri Lanka e na Tailândia como referências.",Telegram,0,-0.71,43357.41,"Amigos vou repetir mais uma vez, PLANO B #SIRILANKA. SEM 4 LINHAS SEM NADA CHEGA DE SER IDIOTAS..","Friends I will repeat once again, plan B #sirilanka. No 4 lines with nothing enough of being stupid ..",Calls to join the January 8 riots,,Unknown,Private user or post,https://drive.google.com/file/d/1Ge5-8xQz4Jz8WgAOdJdNfCQ5fIh_wD9X/view?usp=sharing,https://t.me//68608
2023-01-06 20:32:00,Story 1,"By January 5-6, users open smaller Telegram groups to coordinate convoys and other plans on the ground. ","De 5 a 6 de janeiro, os usuários abrirão grupos menores no Telegram para coordenar comboios e outros planos em terra.",Telegram,0,-0.71,43357.41,"🇧🇷🇧🇷🇧🇷DIVULGUEM EM TODOS OS SEUS GRUPOS DO TELEGRAM E WHATSAPP 🇧🇷🇧🇷🇧🇷

🚨🆘 Entre no grupo correspondente a sua região para facilitar o alinhamento de informações. 🆘🚨

📌 - Acre, Amapá, Amazonas, Pará, Rondônia, Roraima e Tocantins- Região Norte - https://t.me/+fis4nEcxW8hhNmIx

📌 - Alagoas, Bahia, Ceará, Maranhão, Paraíba, Pernambuco, Piauí, Rio Grande do Norte e Sergipe - Região Nordeste - https://t.me/+Ltg9mNLVrRcyMjJh

📌 - Goiás, Mato Grosso e Mato Grosso do Sul, mais o Distrito Federal - Região Centro-oeste - https://t.me/+olFJk2oKeSA0ZTBh

📌 - Rio de Janeiro, São Paulo, Minas Gerais e Espírito Santo - Região Sudeste -  https://t.me/+NkuuXKsEoxZlNWJh

📌 - Paraná, Santa Catarina e Rio Grande do Sul- Região Sul - https://t.me/+ysoiqdz15ehlMjEx","🇧🇷🇧🇷🇧🇷Dulge in all your Telegram and WhatsApp groups 🇧🇷🇧🇷🇧🇷

🚨🆘 Enter the group corresponding to your region to facilitate the alignment of information. 🆘🚨

📌 - Acre, Amapá, Amazonas, Pará, Rondônia, Roraima and Tocantins- Northern Region - https://t.me/+fis4NECXW8HHNMIX

📌 - Alagoas, Bahia, Ceará, Maranhão, Paraíba, Pernambuco, Piauí, Rio Grande do Norte and Sergipe - Northeast Region - https://t.me/+LTG9MNVRRCYMJJH

📌 - Goiás, Mato Grosso and Mato Grosso do Sul, plus the Federal District - Midwest Region - https://t.me/+olfjkkes0ztbh

📌 - Rio de Janeiro, Sao Paulo, Minas Gerais and Espírito Santo - Southeast Region - https://t.me/+nkuuxkseoxzlnwjh

📌 - Paraná, Santa Catarina and Rio Grande do Sul- South Region - https://t.me/+YSOIQDZ15EHLMJEX",Calls to join the January 8 riots,Planning the riots,Online,Online,,
2023-01-07 22:06:05,Story 1,"By January 5-6, users open smaller Telegram groups to coordinate convoys and other plans on the ground. ","De 5 a 6 de janeiro, os usuários abrirão grupos menores no Telegram para coordenar comboios e outros planos em terra.",Telegram,0,-0.71,43357.41,🚨URGENTE🚨 Sete Ônibus gratuitos de Blumenau. Está sobrando Ônibus e faltando patriotas. Bora divulgar!                🇧🇷🫡+55 XX XXXX XXXX com Malu,🚨Urgente🚨 Seven free buses from Blumenau. Buses are left and missing patriots. Let's disclose! 🇧🇷🫡+55 XX XXXX XXXX with Malu,Calls to join the January 8 riots,Planning the riots,Online,Online,,
2022-11-28 16:44:53,Story 1,"By mid-November, frustration grows over the ineffectiveness of the strikes. Some begin calling for more violent methods, including an assault on Brasília with army support.","Em meados de novembro, a frustração com a ineficácia dos ataques aumenta. Alguns começam a clamar por métodos mais violentos, incluindo um ataque a Brasília com apoio do Exército.",Telegram,6501,-0.16,43357.97,"Na minha opinião, ir para Brasília, para praça dos 3 poderes, e levar a multidão... deve ser a última instância... temos que permanecer no QG do exército... eles estão de olho, Bolsonaro está de olho... a ação que mudará os rumos da nação pode ser tomada a qualquer momento.. não vamos entregar tudo de bandeja para os infiltrados da esquerda...","In my opinion, go to Brasilia, to Praça dos 3 Powers, and take the crowd ... must be the last instance ... We have to stay in the army's HQ ... they are watching, Bolsonaro is watching .. . The action that will change the direction of the nation can be taken at any moment .. let's not deliver everything from the tray to the left infiltrates ...",Calls to join the January 8 riots,,Removed by the user,Removed by the user,https://drive.google.com/file/d/1l-4hfjO9lsLqmhzWbs3pVxLYAMBflffE/view?usp=sharing,
2023-01-08 17:44:30,Story 1,Calls to join the riots circulate on Twitter. Allegations of fraud in the elections are flagged and a minority of tweets are deleted. ,Chamadas para participar dos protestos circulam no Twitter. Alegações de fraude nas eleições são sinalizadas e uma minoria de tuítes é apagada.,Twitter,355,,,"PATRIOTAS, ORDEM DAS FFAA. TENDEU??
BORA PARAR O BRASIL E TOMAR BRASILIA!
AGORA É A HORA DE TOMAR O CONGRESSO A PRAÇA DOS 3 PODERES ESOLANADA DOS MINISTÉRIOS TOMAR BRASÍLIA TENDEUU??  

AS FFAA ORIENTAM AGIR ELAS  REAGEM!

 PROS QGS COM FAIXAS: 🆘 FFAA 142 INTERVENÇÃO MILITAR JÁ! https://t.co/jedwdcextX","PATRIOTS, ORDER OF THE ARMED FORCES. GET IT??
LET'S STOP BRAZIL AND TAKE BRASILIA!
NOW IS THE TIME TO TAKE CONGRESS, THE SQUARE OF THE THREE POWERS, THE SUNSHINE OF MINISTRIES, TAKE BRASILIA, GET IT??

THE ARMED FORCES ADVISE YOU TO ACT, THEY REACT!

FOR THE HQS WITH BANNERS: 🆘 ARMED FORCES 142 MILITARY INTERVENTION NOW! https://t.co/jedwdcextX",Calls to join the January 8 riots,Planning the riots,Online,Online,,https://twitter.com/anyuser/status/1612143218690236417
2023-01-08 1:15:55,Story 1,Cryptic language is also used on Twitter. ,Linguagem enigmática também é usada no Twitter.,Twitter,424,,,"Gentemmmm...além da festa da Selma, teve casamento no QG Sudeste SP! 
O amor vai vencer mesmo, mas o amor verdadeiro, não o inventado! 

#SELMA #festadaselma #GREVEGERAL #grevedoscaminhoneiros #qgsudeste #saopaulo #DIREITAforteUNIDA https://t.co/Yn9LRSiRnR","People... besides Selma's party, there was a wedding at HQ Sudeste SP!

Love will win, but true love, not the invented kind!

#SELMA #festadaselma #GREVEGERAL #grevedoscaminhoneiros #qgsudeste #saopaulo #DIREITAforteUNIDA https://t.co/Yn9LRSiRnR",Calls to join the January 8 riots,,Hmm...this page doesn’t exist. Try searching for something else.,Removed by the platform,,https://twitter.com/anyuser/status/1611894434207076355
2022-12-13 03:37:35,Story 1,"Despite the violent rhetoric, some users claim that rioters were more likely to be ""infiltrators"". ","Apesar da retórica violenta, alguns usuários alegam que os manifestantes eram mais propensos a serem ""infiltrados"".",Twitter,32899,,,"🚨URGENTE: Quer dizer que os ""patriotas"" iriam queimar um carro com bandeira do Brasil? Está claro e evidente que infiltrados, terroristas, antifas, black blocks agiram pela esquerda para denegrir os atos democráticos que estão ocorrendo nos quarteis. #SOSFFAA https://t.co/u8yoQGyhjz","🚨URGENT: Do you mean to say that the ""patriots"" would burn a car with the Brazilian flag? It's clear and evident that infiltrators, terrorists, antifa, and Black blocs acted from the left to denigrate the democratic acts taking place in the barracks. #SOSFFAA https://t.co/u8yoQGyhjz",Strikes in support of a military coup,Other,Online,Online,,https://twitter.com/anyuser/status/1602508000547192833
2023-01-08 20:53:38,Story 1,Federeal deputee Flávio Moreno does not condemn the invasion of the National Congress. ,O deputado federal Flávio Moreno não condena a invasão do Congresso Nacional.,Facebook,173,-0.33,17166.95,URGENTE! Manifestantes invadem o Congresso Nacional contra a corrupção e o Governo posto. O que achou? Compartilhe! #papofederal #esquerdanuncamais #flaviomoreno,URGENT! Protesters invade the National Congress against corruption and the government set. What do you think? Share! #papofederal #esquerdanuncaMais #flaviomorerene,Calls to join the January 8 riots,Military support,Online,Online,,https://www.facebook.com/100044833697018/posts/716631093174674
2022-11-15 21:57:38,Story 2,"Initially, some military personnel, speaking ‘off the record,’ expressed support for investigations into alleged electoral fraud and, later, for what they described as ‘legitimate’ and ‘democratic’ demonstrations outside the barracks. On Instagram and Facebook, however, their statements were more discreet than those on YouTube and Telegram.","Inicialmente, alguns militares, falando ""off the record"", manifestaram apoio às investigações sobre suposta fraude eleitoral e, posteriormente, ao que descreveram como manifestações ""legítimas"" e ""democráticas"" em frente aos quartéis. No Instagram e no Facebook, porém, suas declarações foram mais discretas do que as do YouTube e do Telegram.",Instagram,18289,0.41,45386.02,"O General Villas Bôas, Ex-Comandante do Exército, publica nota enaltecendo o caráter pacífico, legítimo e democrático das manifestações populares dos últimos dias, criticando a parcialidade da escória que domina a maioria da imprensa brasileira. 

Em nenhum momento, o General Villas Bôas categoriza as manifestações como “anti-democráticas”, adjetivo este que vem sido repetido reiterada vezes por órgãos de imprensa e alguns membros do judiciário. #bws #monarquiajá #bracofortemaoamiga","General Villas Bôas, former army commander, publishes a note by extolling the peaceful, legitimate and democratic character of the popular manifestations of the last days, criticizing the bias of the slag that dominates the majority of the Brazilian press.

At no point, General Villas Bôas categorizes demonstrations as “unnatural”, an adjective that has been repeated repeatedly by press agencies and some members of the judiciary. #bws #monarquiajá #bracofortemaoamiga",Calls for a military intervention,Military support,Visit the Electoral Justice website for official 2022 election information.,Labelled,,https://www.instagram.com/p/Ck_u5qOui3e/
2022-11-19,Story 2,"Interviews, videos and posts with General Rocha Paiva are circulated on YouTube and Telegram. Rocha Paiva is heard saying that there was probable fraud in the elections and fears a “takeover” by the Labour Party as part of a totalitarian and corrupt project by left-wing parties.

His speech evokes themes of the Cold War, during which, he believes, Brazil was saved from a communist coup by a popular and military counter-coup. He deplores the 1988 constituent assembly, because he believes it made Brazil hostage to incompetent and corrupt governments. In his live broadcasts, Rocha Paiva describes himself as “one of the main intellectuals of the force, respected by both active and reserve personnel”. He has in fact published several books and his biography lists him as Professor Emeritus of the School of Command and State.","Entrevistas, vídeos e postagens com o General Rocha Paiva circulam no YouTube e no Telegram. Rocha Paiva afirma que provavelmente houve fraude nas eleições e teme uma ""tomada de poder"" pelo Partido Trabalhista como parte de um projeto totalitário e corrupto de partidos de esquerda.

Seu discurso evoca temas da Guerra Fria, durante a qual, segundo ele, o Brasil foi salvo de um golpe comunista por um contragolpe popular e militar. Ele condena a Assembleia Constituinte de 1988, pois acredita que ela tornou o Brasil refém de governos incompetentes e corruptos. Em suas transmissões ao vivo, Rocha Paiva se descreve como ""um dos principais intelectuais da força, respeitado tanto pela ativa quanto pela reserva"". Ele publicou diversos livros e sua biografia o lista como Professor Emérito da Escola de Comando e Estado.",YouTube,500,-0.31,16100.51,"Exclusivo: “Espero que essa gente nefasta não chegue ao poderˮ, afirma general Rocha Paiva","Exclusive: ""I hope these nefarious people don't come to power,"" says General Rocha Paiva",Calls for a military intervention,Military support,Online,Online,https://drive.google.com/file/d/1XcpGMKDCqt-XjZGaPcNGlibkRnEo3qBm/view?usp=sharing,
2023-01-01 05:00:33,,,,Telegram,8198,-0.01,43358.11,"🇧🇷🤔🇧🇷🤔
GLOBOLIXO 

@GeFazioBreakingNews🇧🇷","🇧🇷🤔🇧🇷🤔
Globolixo

@Gefaziobreakingnews🇧🇷",Other,,Online,Online,,https://t.me/gefaziobreakingnews/44881
2023-01-01 15:11:26,,,,Telegram,14561,0.53,43358.65,"Eu entendo que o peso de afrontar a Nova Ordem Mundial Financista,  não poderia recair sobre os ombros de um Homem e sua família,  o Presidente Bolsonaro, mas coletivizado e sem nome , apenas uma sigla FFAA","I understand that the weight of facing the New World Order financing could not fall on the shoulders of a man and his family, President Bolsonaro, but collectivized and unnamed, just a FFAA acronym",Other,,Online,Online,,https://t.me/selvaeaco/30222
2023-01-01 15:19:40,,,,Telegram,0,-0.71,43357.41,"Olavo grande Homen, o Povo precisa não, deve se levantar sobre a Nova Ordem Mundial ( NOM) e digo mais isso já começou pelo Brasil🙏🏻🙏🏻🙏🏻🙌🏻🙌🏻🙌🏻💒💒💒","Olavo Grande Man, the people need not, should get up on the New World Order (Nom) and I say more that has started through Brazil🙏🏻🙏🏻🙏🏻🙌🏻🙌🏻🙌🏻💒💒💒",Other,,Unknown,Private user or post,,https://t.me/Jarbasdr/59195
